,cheb,step,gamma,decay,val
0,3,10,0.8,0.005,b'0.5880414247512817\n'
1,3,10,0.8,0.01,b'0.5930391550064087\n'
2,3,10,0.8,0.015,b'0.5982809066772461\n'
3,3,10,0.85,0.005,b'0.5712867975234985\n'
4,3,10,0.85,0.01,b'0.5770740509033203\n'
5,3,10,0.85,0.015,b'0.5828529596328735\n'
6,3,10,0.9,0.005,b'0.5509243607521057\n'
7,3,10,0.9,0.01,b'0.5607373118400574\n'
8,3,10,0.9,0.015,b'0.5688278079032898\n'
9,3,10,0.95,0.005,b'0.5210960507392883\n'
10,3,10,0.95,0.01,b'0.5325303673744202\n'
11,3,10,0.95,0.015,b'0.5414056181907654\n'
12,3,11,0.8,0.005,b'0.5824056267738342\n'
13,3,11,0.8,0.01,b'0.5878176689147949\n'
14,3,11,0.8,0.015,b'0.5934194922447205\n'
15,3,11,0.85,0.005,b'0.5666523575782776\n'
16,3,11,0.85,0.01,b'0.5730805993080139\n'
17,3,11,0.85,0.015,b'0.5789739489555359\n'
18,3,11,0.9,0.005,b'0.5454216599464417\n'
19,3,11,0.9,0.01,b'0.5566679835319519\n'
20,3,11,0.9,0.015,b'0.5653371214866638\n'
21,3,11,0.95,0.005,b'0.5180200338363647\n'
22,3,11,0.95,0.01,b'0.5303148627281189\n'
23,3,11,0.95,0.015,b'0.5394356846809387\n'
24,3,12,0.8,0.005,b'0.5777695178985596\n'
25,3,12,0.8,0.01,b'0.5832163691520691\n'
26,3,12,0.8,0.015,b'0.5889651775360107\n'
27,3,12,0.85,0.005,b'0.5626860857009888\n'
28,3,12,0.85,0.01,b'0.5698684453964233\n'
29,3,12,0.85,0.015,b'0.5762048959732056\n'
30,3,12,0.9,0.005,b'0.5412610769271851\n'
31,3,12,0.9,0.01,b'0.5526601076126099\n'
32,3,12,0.9,0.015,b'0.5612194538116455\n'
33,3,12,0.95,0.005,b'0.5151888728141785\n'
34,3,12,0.95,0.01,b'0.5281527638435364\n'
35,3,12,0.95,0.015,b'0.5372765064239502\n'
36,3,13,0.8,0.005,b'0.5733508467674255\n'
37,3,13,0.8,0.01,b'0.5788410902023315\n'
38,3,13,0.8,0.015,b'0.5845920443534851\n'
39,3,13,0.85,0.005,b'0.5589240193367004\n'
40,3,13,0.85,0.01,b'0.5665184259414673\n'
41,3,13,0.85,0.015,b'0.5735152959823608\n'
42,3,13,0.9,0.005,b'0.5375499725341797\n'
43,3,13,0.9,0.01,b'0.5489417910575867\n'
44,3,13,0.9,0.015,b'0.5570816397666931\n'
45,3,13,0.95,0.005,b'0.5128808617591858\n'
46,3,13,0.95,0.01,b'0.5259590148925781\n'
47,3,13,0.95,0.015,b'0.535520076751709\n'
48,3,14,0.8,0.005,b'0.5689963102340698\n'
49,3,14,0.8,0.01,b'0.5748562812805176\n'
50,3,14,0.8,0.015,b'0.5805802345275879\n'
51,3,14,0.85,0.005,b'0.5547049045562744\n'
52,3,14,0.85,0.01,b'0.563571572303772\n'
53,3,14,0.85,0.015,b'0.5711972117424011\n'
54,3,14,0.9,0.005,b'0.5342587828636169\n'
55,3,14,0.9,0.01,b'0.5459219217300415\n'
56,3,14,0.9,0.015,b'0.5541952848434448\n'
57,3,14,0.95,0.005,b'0.5111808776855469\n'
58,3,14,0.95,0.01,b'0.5243574380874634\n'
59,3,14,0.95,0.015,b'0.5340062975883484\n'
60,3,15,0.8,0.005,b'0.5663373470306396\n'
61,3,15,0.8,0.01,b'0.5725501775741577\n'
62,3,15,0.8,0.015,b'0.578260064125061\n'
63,3,15,0.85,0.005,b'0.5513075590133667\n'
64,3,15,0.85,0.01,b'0.5610076785087585\n'
65,3,15,0.85,0.015,b'0.5690732002258301\n'
66,3,15,0.9,0.005,b'0.531035840511322\n'
67,3,15,0.9,0.01,b'0.542359471321106\n'
68,3,15,0.9,0.015,b'0.551141619682312\n'
69,3,15,0.95,0.005,b'0.5098257660865784\n'
70,3,15,0.95,0.01,b'0.522344172000885\n'
71,3,15,0.95,0.015,b'0.532052755355835\n'
